# dx	dy
1.177361607551574707e-02 -4.259392246603965759e-02
2.742937207221984863e-02 -2.592100948095321655e-02
3.258296847343444824e-02 -2.674448117613792419e-02
4.850503802299499512e-02 -3.592532873153686523e-02
4.856225848197937012e-02 -3.422101587057113647e-02
6.934019923210144043e-02 -5.448088049888610840e-02
9.205332398414611816e-02 -3.294846415519714355e-02
1.150764226913452148e-01 -4.977208003401756287e-02
1.199399232864379883e-01 -3.536728024482727051e-02
1.120260357856750488e-01 -4.518220573663711548e-02
1.256070137023925781e-01 -6.164937093853950500e-02
1.485339403152465820e-01 -5.506087839603424072e-02
1.239588260650634766e-01 -4.471933841705322266e-02
1.458256542682647705e-01 -1.144766807556152344e-02
1.615437567234039307e-01 9.274192154407501221e-03
1.833786666393280029e-01 -2.092935144901275635e-03
1.894302368164062500e-01 4.252724349498748779e-03
2.122863531112670898e-01 8.777581155300140381e-03
2.472939789295196533e-01 -1.937864720821380615e-02
2.503976523876190186e-01 -1.557581126689910889e-03
2.771312594413757324e-01 5.203656852245330811e-03
2.890129387378692627e-01 1.314917206764221191e-02
3.348445594310760498e-01 -9.669348597526550293e-03
3.473201096057891846e-01 -2.765737473964691162e-02
3.718962073326110840e-01 -1.608569175004959106e-02
4.058828651905059814e-01 -2.748761326074600220e-02
4.361641108989715576e-01 -3.664943575859069824e-02
4.453948140144348145e-01 -3.501905873417854309e-02
4.804469347000122070e-01 -2.771843969821929932e-02
5.222905278205871582e-01 -2.362258732318878174e-02
5.362222194671630859e-01 -3.672119975090026855e-02
5.622560977935791016e-01 -8.108349144458770752e-02
5.758410096168518066e-01 -8.666391670703887939e-02
5.689062476158142090e-01 -9.657415747642517090e-02
5.627212524414062500e-01 -7.115542143583297729e-02
5.830680727958679199e-01 -6.201887503266334534e-02
5.458934307098388672e-01 -7.402803003787994385e-02
5.650773644447326660e-01 -6.638539582490921021e-02
5.984145402908325195e-01 -5.549972504377365112e-02
5.759217739105224609e-01 -3.857529163360595703e-02
5.639932155609130859e-01 -2.615474164485931396e-02
5.716188549995422363e-01 -1.966623216867446899e-02
5.517584085464477539e-01 -5.677551031112670898e-02
5.774569511413574219e-01 -3.136728703975677490e-02
5.703901052474975586e-01 -5.656165257096290588e-02
5.927449464797973633e-01 -3.642059117555618286e-02
6.152523756027221680e-01 -3.612283617258071899e-02
6.317284107208251953e-01 -4.325018078088760376e-02
6.401888132095336914e-01 -4.012618958950042725e-02
6.696276068687438965e-01 -3.085556626319885254e-02
6.775595545768737793e-01 -4.985833913087844849e-02
6.758012771606445312e-01 -4.310418665409088135e-02
6.929247379302978516e-01 -6.628961861133575439e-02
6.979101896286010742e-01 -1.690451800823211670e-02
6.806675791740417480e-01 -5.121471732854843140e-02
7.253018617630004883e-01 -5.527547001838684082e-02
7.355057001113891602e-01 -5.507108569145202637e-02
7.550036907196044922e-01 -6.053390353918075562e-02
7.582694888114929199e-01 -4.210090637207031250e-02
7.777753472328186035e-01 -5.945378541946411133e-02
7.812389135360717773e-01 -3.913406282663345337e-02
8.058376908302307129e-01 -6.822260469198226929e-02
8.128646612167358398e-01 -4.088892787694931030e-02
8.234999179840087891e-01 -6.061612814664840698e-02
8.423956036567687988e-01 -6.310696899890899658e-02
8.621379137039184570e-01 -3.662043809890747070e-02
8.707041740417480469e-01 -2.592165023088455200e-02
8.840748071670532227e-01 -2.571331709623336792e-02
9.140531420707702637e-01 -4.238671064376831055e-02
9.332602620124816895e-01 -6.603564321994781494e-02
9.609969258308410645e-01 -2.881841361522674561e-02
9.726478457450866699e-01 -4.344838112592697144e-02
9.936585426330566406e-01 -6.202211976051330566e-02
1.022890806198120117e+00 -6.006143987178802490e-02
1.052078604698181152e+00 -5.655276030302047729e-02
1.030354142189025879e+00 -5.933743715286254883e-02
1.069375157356262207e+00 -6.659216433763504028e-02
1.097966074943542480e+00 -6.112293154001235962e-02
1.135829448699951172e+00 -6.294771283864974976e-02
1.144487857818603516e+00 -1.130798459053039551e-01
1.175997018814086914e+00 -1.113496050238609314e-01
1.180467247962951660e+00 -1.106677353382110596e-01
1.181026935577392578e+00 -1.129724085330963135e-01
1.188573241233825684e+00 -1.034982949495315552e-01
1.216374874114990234e+00 -1.096312999725341797e-01
1.231239676475524902e+00 -1.059706509113311768e-01
1.241321802139282227e+00 -9.326148778200149536e-02
1.236752867698669434e+00 -8.110465854406356812e-02
1.242148756980895996e+00 -7.771001011133193970e-02
1.260650515556335449e+00 -8.662799000740051270e-02
1.283751368522644043e+00 -7.688734680414199829e-02
1.274328351020812988e+00 -7.269120216369628906e-02
1.294303774833679199e+00 -5.036899447441101074e-02
1.294081330299377441e+00 -3.762796521186828613e-02
1.289336681365966797e+00 -1.582919061183929443e-02
1.350219607353210449e+00 -1.460409164428710938e-02
1.344712853431701660e+00 6.742894649505615234e-03
1.374390006065368652e+00 -1.302994787693023682e-02
1.382099628448486328e+00 -7.331371307373046875e-05
1.389623761177062988e+00 -1.808510720729827881e-02
1.397119760513305664e+00 -2.476191520690917969e-02
1.424753427505493164e+00 -1.777593791484832764e-02
1.418254017829895020e+00 -6.594955921173095703e-04
1.438242197036743164e+00 1.739934086799621582e-03
1.403046727180480957e+00 4.003176093101501465e-02
1.397905230522155762e+00 5.287645757198333740e-02
1.373035073280334473e+00 2.831761538982391357e-02
1.331046223640441895e+00 8.850388228893280029e-02
1.344140648841857910e+00 1.014779955148696899e-01
1.329671025276184082e+00 1.002436578273773193e-01
1.347818493843078613e+00 1.281640678644180298e-01
1.353585481643676758e+00 1.362830847501754761e-01
1.346476793289184570e+00 1.284647732973098755e-01
1.275762557983398438e+00 1.017705798149108887e-01
1.308633685111999512e+00 8.237522840499877930e-02
1.302624464035034180e+00 7.687669992446899414e-02
1.322623968124389648e+00 5.738638341426849365e-02
1.322673320770263672e+00 2.919748425483703613e-02
1.347178339958190918e+00 4.323291778564453125e-02
1.343572378158569336e+00 1.183092594146728516e-02
1.335551142692565918e+00 -3.707617521286010742e-03
1.347158670425415039e+00 -1.344084739685058594e-04
1.352520942687988281e+00 -1.441982388496398926e-02
1.355562090873718262e+00 -3.292547166347503662e-02
1.341571331024169922e+00 -1.967090368270874023e-02
1.361691474914550781e+00 -5.435897409915924072e-02
1.352819919586181641e+00 -3.881244361400604248e-02
1.383595108985900879e+00 -9.881481528282165527e-03
1.398000001907348633e+00 -1.761107146739959717e-02
1.445528745651245117e+00 -2.123352885246276855e-02
1.427004098892211914e+00 -2.044652402400970459e-02
1.449484229087829590e+00 -2.395547926425933838e-02
1.462227344512939453e+00 5.926638841629028320e-04
1.475745916366577148e+00 -1.575288176536560059e-02
1.474628329277038574e+00 -1.327048242092132568e-02
1.519355773925781250e+00 1.107856631278991699e-02
1.513108134269714355e+00 2.836495637893676758e-03
1.536734938621520996e+00 -7.326513528823852539e-03
1.556430339813232422e+00 -1.102472841739654541e-02
1.571901082992553711e+00 -3.733888268470764160e-02
1.594160437583923340e+00 -1.842696964740753174e-02
1.625957727432250977e+00 -6.634071469306945801e-03
1.620497107505798340e+00 -2.089394629001617432e-02
1.630533814430236816e+00 -7.439047098159790039e-03
1.664835691452026367e+00 -3.603632748126983643e-02
1.673225164413452148e+00 -5.445411801338195801e-02
1.704519629478454590e+00 -5.737476050853729248e-02
1.723660469055175781e+00 -5.759774148464202881e-02
1.738808989524841309e+00 -8.468722552061080933e-02
1.774211049079895020e+00 -9.015586972236633301e-02
1.795188903808593750e+00 -8.769723773002624512e-02
1.820960164070129395e+00 -1.127622574567794800e-01
1.821890950202941895e+00 -1.211969032883644104e-01
1.831065058708190918e+00 -1.329893022775650024e-01
1.871447443962097168e+00 -1.119912937283515930e-01
1.851886868476867676e+00 -1.021213978528976440e-01
1.886098384857177734e+00 -1.371556967496871948e-01
1.890564799308776855e+00 -1.217770799994468689e-01
1.917915701866149902e+00 -1.348041594028472900e-01
1.943199872970581055e+00 -1.444541066884994507e-01
1.931229114532470703e+00 -1.594666242599487305e-01
1.979205012321472168e+00 -1.683736890554428101e-01
1.947302937507629395e+00 -1.355234235525131226e-01
1.952060580253601074e+00 -1.461362242698669434e-01
1.949110984802246094e+00 -1.177954375743865967e-01
1.939654946327209473e+00 -1.339538097381591797e-01
1.944097399711608887e+00 -1.268695145845413208e-01
1.961654186248779297e+00 -1.357289403676986694e-01
1.961045980453491211e+00 -1.112469732761383057e-01
1.961826324462890625e+00 -8.134385943412780762e-02
1.992083787918090820e+00 -5.833186209201812744e-02
1.991036415100097656e+00 -7.853662222623825073e-02
2.009994268417358398e+00 -5.845969915390014648e-02
2.002849102020263672e+00 -3.678692877292633057e-02
2.027309656143188477e+00 -4.911679029464721680e-02
2.051206350326538086e+00 -6.032030284404754639e-02
2.054199457168579102e+00 -5.992609262466430664e-02
2.070092201232910156e+00 -5.955627560615539551e-02
2.075184822082519531e+00 -7.340574264526367188e-02
2.074789047241210938e+00 -8.958727866411209106e-02
2.119432449340820312e+00 -8.333028852939605713e-02
2.120057344436645508e+00 -8.759392052888870239e-02
2.099180936813354492e+00 -8.771210908889770508e-02
2.131685018539428711e+00 -8.472479879856109619e-02
2.138024806976318359e+00 -1.295770555734634399e-01
2.142463207244873047e+00 -1.214359775185585022e-01
2.169048309326171875e+00 -9.727426618337631226e-02
2.180318355560302734e+00 -1.055601090192794800e-01
2.191886663436889648e+00 -1.296290457248687744e-01
2.202299118041992188e+00 -1.314499378204345703e-01
2.234146356582641602e+00 -7.974374294281005859e-02
2.239846467971801758e+00 -1.084690764546394348e-01
2.238862991333007812e+00 -1.013360545039176941e-01
2.225736618041992188e+00 -9.896393865346908569e-02
2.235239267349243164e+00 -9.962233901023864746e-02
2.267778873443603516e+00 -9.399755299091339111e-02
2.275303125381469727e+00 -1.055452078580856323e-01
2.310468912124633789e+00 -1.261466890573501587e-01
2.308616399765014648e+00 -8.832481503486633301e-02
2.323075771331787109e+00 -1.034898534417152405e-01
2.339706182479858398e+00 -1.185715496540069580e-01
2.360171556472778320e+00 -8.397457748651504517e-02
2.333836793899536133e+00 -9.463117271661758423e-02
2.364627122879028320e+00 -1.029064953327178955e-01
2.372048616409301758e+00 -1.306402385234832764e-01
2.404737710952758789e+00 -1.762370020151138306e-01
2.400593280792236328e+00 -1.893380582332611084e-01
2.409367799758911133e+00 -2.046254724264144897e-01
2.407855987548828125e+00 -1.810628622770309448e-01
2.433067321777343750e+00 -1.866462677717208862e-01
2.420424461364746094e+00 -1.419880092144012451e-01
2.450304746627807617e+00 -1.359269469976425171e-01
2.491625785827636719e+00 -1.590225100517272949e-01
2.474068403244018555e+00 -1.585410684347152710e-01
2.501891613006591797e+00 -1.751415580511093140e-01
2.493718624114990234e+00 -1.749963015317916870e-01
2.513361692428588867e+00 -1.852657496929168701e-01
2.535986661911010742e+00 -1.890060603618621826e-01
2.560547351837158203e+00 -1.697255074977874756e-01
2.569987058639526367e+00 -1.796307414770126343e-01
2.576411485671997070e+00 -1.914686262607574463e-01
2.589030742645263672e+00 -2.054283767938613892e-01
2.613588333129882812e+00 -2.099687904119491577e-01
2.645735025405883789e+00 -2.113528996706008911e-01
2.640377283096313477e+00 -2.274502217769622803e-01
2.633353710174560547e+00 -2.753007113933563232e-01
2.650423765182495117e+00 -2.707879245281219482e-01
2.652942895889282227e+00 -2.824760675430297852e-01
2.667376756668090820e+00 -2.478788197040557861e-01
2.662325859069824219e+00 -2.595310807228088379e-01
2.647653102874755859e+00 -2.630149126052856445e-01
2.631572723388671875e+00 -2.371745705604553223e-01
2.615816116333007812e+00 -2.487843632698059082e-01
2.602246284484863281e+00 -2.546682953834533691e-01
2.618357181549072266e+00 -2.842724919319152832e-01
2.612464189529418945e+00 -2.660250961780548096e-01
2.627985477447509766e+00 -2.521292865276336670e-01
2.614201307296752930e+00 -2.547271251678466797e-01
2.620172023773193359e+00 -2.535744011402130127e-01
2.635634422302246094e+00 -2.379925549030303955e-01
2.655595064163208008e+00 -2.280691117048263550e-01
2.666623830795288086e+00 -2.425569295883178711e-01
2.688831806182861328e+00 -2.432660460472106934e-01
2.694077730178833008e+00 -2.193349748849868774e-01
2.680369853973388672e+00 -2.308732271194458008e-01
2.701546430587768555e+00 -2.305665910243988037e-01
2.706673622131347656e+00 -1.942801773548126221e-01
2.719791412353515625e+00 -1.885867714881896973e-01
2.730733394622802734e+00 -1.746210753917694092e-01
2.744664192199707031e+00 -1.911113560199737549e-01
2.766194343566894531e+00 -1.597814410924911499e-01
2.776095867156982422e+00 -1.633269190788269043e-01
2.781392574310302734e+00 -1.695037931203842163e-01
2.786664247512817383e+00 -1.925117075443267822e-01
2.790001869201660156e+00 -1.894040554761886597e-01
2.795065641403198242e+00 -1.892703473567962646e-01
2.811355113983154297e+00 -1.880689859390258789e-01
2.824837684631347656e+00 -1.789014935493469238e-01
2.873880147933959961e+00 -1.928711533546447754e-01
2.858293056488037109e+00 -1.949117928743362427e-01
2.884001493453979492e+00 -1.997219920158386230e-01
2.887195348739624023e+00 -1.927389353513717651e-01
2.908756494522094727e+00 -2.056504487991333008e-01
2.919128179550170898e+00 -1.937390863895416260e-01
2.911004781723022461e+00 -1.636772751808166504e-01
2.914697647094726562e+00 -1.815808713436126709e-01
2.949921607971191406e+00 -1.596800088882446289e-01
2.952951431274414062e+00 -1.315169632434844971e-01
2.957863807678222656e+00 -1.388868987560272217e-01
2.990245103836059570e+00 -1.556581258773803711e-01
3.014874458312988281e+00 -1.732636690139770508e-01
3.000196695327758789e+00 -1.703734695911407471e-01
2.985222816467285156e+00 -1.642717421054840088e-01
2.992903470993041992e+00 -1.669225692749023438e-01
2.991074323654174805e+00 -1.727120876312255859e-01
2.994324445724487305e+00 -1.409960538148880005e-01
3.007331848144531250e+00 -1.389771103858947754e-01
3.056042432785034180e+00 -1.504623591899871826e-01
3.044808864593505859e+00 -1.503272205591201782e-01
3.062558174133300781e+00 -1.449088454246520996e-01
3.058700799942016602e+00 -1.474003195762634277e-01
3.083326578140258789e+00 -1.433414071798324585e-01
3.109730243682861328e+00 -1.622024476528167725e-01
3.133220911026000977e+00 -1.801761239767074585e-01
3.154675960540771484e+00 -2.002886980772018433e-01
3.157916307449340820e+00 -1.823410540819168091e-01
3.160230875015258789e+00 -1.921877115964889526e-01
3.176715612411499023e+00 -1.968946158885955811e-01
3.183969020843505859e+00 -1.571934670209884644e-01
3.213598012924194336e+00 -1.828759163618087769e-01
3.203288793563842773e+00 -2.236966937780380249e-01
3.172717809677124023e+00 -1.712394654750823975e-01
3.170094490051269531e+00 -1.485483497381210327e-01
3.143570184707641602e+00 -1.403515636920928955e-01
3.148089170455932617e+00 -1.646020561456680298e-01
3.158819675445556641e+00 -1.916465461254119873e-01
3.137725114822387695e+00 -1.421520709991455078e-01
3.154657363891601562e+00 -1.474618017673492432e-01
3.164690732955932617e+00 -1.516508907079696655e-01
3.163546085357666016e+00 -1.282242983579635620e-01
3.181856393814086914e+00 -1.384634077548980713e-01
3.184587240219116211e+00 -1.178690269589424133e-01
3.198621273040771484e+00 -1.498915851116180420e-01
